scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sub_category_encoded,fund_size_cr_log,expense_ratio_log,cluster,is_top_performer
ICICI Pru Equity – Arbitrage Fund,1000,5000,0.39,11272.0,10,Kayzad Eghlim,1.27,1.59,0.75,0.63,0.99,1,ICICI Prudential Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,1,9.330165765044532,0.3293037471426004,2,0
ICICI Pru Equity Savings Fund,100,5000,0.54,4936.0,8,Kayzad Eghlim,5.26,4.82,4.82,0.57,1.84,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9,12,8.504513138258863,0.43178241642553783,4,0
ICICI Pru Exports and Services Fund,1000,5000,1.76,1040.0,10,Sankaran Naren,4.35,6.7,14.06,0.78,1.78,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,30.7,11.4,33,6.947937068614969,1.0152306797290584,0,0
ICICI Pru Floating Interest Fund,100,500,0.62,11650.0,10,Rahul Goswami,2.75,3.22,1.77,0.47,1.46,2,ICICI Prudential Mutual Fund,2,Debt,Floater Mutual Funds,6.3,7.0,7.2,15,9.36314729221994,0.4824261492442927,4,0
ICICI Pru FMCG Fund,100,5000,1.44,1156.0,10,Priyanka Khandelwal,3.73,7.44,11.56,0.47,1.61,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,21.1,24.5,13.5,33,7.053585727193677,0.8919980393051105,3,1
ICICI Pru Focused Equity Fund,100,5000,0.59,3920.0,10,Sankaran Naren,3.27,4.86,15.84,0.89,1.62,6,ICICI Prudential Mutual Fund,4,Equity,Focused Funds,6.1,31.2,13.4,18,8.27410200229233,0.4637340162321401,3,1
ICICI Pru Gilt Fund,1000,5000,0.56,2692.0,10,Rahul Goswami,1.22,1.87,3.2,0.69,0.82,3,ICICI Prudential Mutual Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4,19,7.898411092811599,0.44468582126144574,2,0
ICICI Pru Global Stable Equity Fund,1000,5000,1.26,111.0,10,Rohan Maru,1.69,1.855,13.7,0.86,0.9,6,ICICI Prudential Mutual Fund,0,Other,FoFs Overseas,3.4,18.0,10.3,17,4.718498871295094,0.8153648132841945,0,0
ICICI Pru Income Optimizer Fund,1000,5000,0.26,272.0,10,Dharmesh Kakkad,5.43,5.75,3.85,0.47,2.37,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8,16,5.60947179518496,0.23111172096338664,4,0
ICICI Pru India Equity FOF – Direct Growth,100,500,0.88,62.0,3,Dharmesh Kakkad,3.95,6.83,15.57,0.84,1.71,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,4.9,32.2,8.9,16,4.143134726391533,0.6312717768418579,0,0
ICICI Pru India Opportunities Fund,100,5000,0.73,7644.0,4,Sankaran Naren,3.51,8.463750000000001,19.93,0.99,1.67,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,11.7,44.7,8.9,33,8.941807118363164,0.5481214085096876,3,0
ICICI Pru Infrastructure Fund,100,5000,1.64,2269.0,10,Ihab Dalwai,4.04,8.463750000000001,20.09,0.78,1.83,6,ICICI Prudential Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44.0,15.1,33,7.727535110475448,0.9707789171582248,3,1
ICICI Pru Large & Mid Cap Fund,100,5000,1.09,7044.0,10,Ihab Dalwai,3.99,7.49,17.05,0.92,1.68,6,ICICI Prudential Mutual Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7,21,8.86007342433278,0.7371640659767197,3,1
ICICI Pru Liquid Fund,99,99,0.2,47245.0,10,Rahul Goswami,4.39,1.39,0.38,0.78,0.94,3,ICICI Prudential Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,23,10.763123273253704,0.18232155679395465,4,0
ICICI Pru Long Term Equity Fund,500,500,1.23,9819.0,10,Harish Bihani,0.06,6.9,4.06,5.04,0.04,6,ICICI Prudential Mutual Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5,11,9.192176401348512,0.8020015854720274,2,0
ICICI Pru Long Term Wealth Enhancement Fund,0,500,0.97,32.0,5,Rajat Chandak,3.33,0.78,16.64,0.95,1.39,6,ICICI Prudential Mutual Fund,0,Equity,ELSS Mutual Funds,-0.7,33.7,11.3,11,3.4965075614664802,0.6780335427498971,0,0
ICICI Pru Manufacturing Fund,100,5000,1.7,645.0,4,Anish Tawakley,3.44,7.67,17.45,0.94,1.71,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,8.6,35.6,8.9,33,6.470799503782602,0.9932517730102833,0,0
ICICI Pru Medium Term Bond Fund,1000,5000,0.77,6305.0,10,Manish Banthia,1.69,2.74,2.28,0.69,1.29,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6,25,8.749256840105007,0.5709795465857378,2,0
ICICI Pru MidCap Fund,100,5000,1.16,3492.0,10,Lalit Kumar,3.32,0.33,17.76,0.96,1.62,6,ICICI Prudential Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1,27,8.158516244806831,0.7701082216960736,3,0
ICICI Pru Money Market Fund,100,500,0.21,11475.0,10,Rahul Goswami,4.38,2.82,0.67,1.25,1.72,3,ICICI Prudential Mutual Fund,3,Debt,Money Market Funds,5.5,5.4,6.1,28,9.348013177101256,0.19062035960864973,4,0
ICICI Pru Multi-Asset Fund,100,5000,1.15,16449.0,10,Sankaran Naren,3.99,8.463750000000001,13.67,0.81,1.85,6,ICICI Prudential Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2,29,9.708080756193517,0.7654678421395714,3,1
ICICI Pru Multicap Fund,100,5000,1.02,6929.0,10,Sankaran Naren,3.31,3.09,16.79,0.94,1.49,6,ICICI Prudential Mutual Fund,0,Equity,Multi Cap Funds,5.7,29.1,11.8,30,8.84361509218395,0.7030975114131134,3,0
ICICI Pru Nifty 50 Index Fund,100,100,0.17,3977.0,10,Kayzad Eghlim,3.46,-0.72,16.8,1.0,1.3,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9,20,8.288534459413917,0.15700374880966478,3,0
ICICI Pru Nifty Next 50 Index Fund,100,100,0.3,2415.0,10,Kayzad Eghlim,1.7,-4.16625,18.11,0.98,0.97,6,ICICI Prudential Mutual Fund,1,Other,Index Funds,-6.4,22.0,6.1,20,7.789868559054706,0.262364264467491,1,0
ICICI Pru Overnight Fund,500,100,0.1,12837.0,4,Rahul Goswami,-0.25,0.54,0.35,0.42,-0.05,1,ICICI Prudential Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,8.9,31,9.460164801871723,0.09531017980432487,2,0
ICICI Pru P.H.D Fund,100,5000,1.22,2538.0,5,Dharmesh Kakkad,2.68,3.7,21.09,0.96,1.03,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-6.0,25.0,8.9,33,7.839525581704678,0.7975071958841881,0,0
ICICI Pru Passive Strategy Fund,1000,5000,0.06,93.0,10,Dharmesh Kakkad,3.11,1.99,14.83,0.84,1.46,6,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,4.9,26.3,10.9,16,4.543294782270004,0.05826890812397577,1,0
ICICI Pru Regular Gold Savings Fund,100,100,0.09,671.0,10,Manish Banthia,1.1,-0.21,14.0,0.99,0.49,5,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,14.3,11.7,13.1,16,6.51025834052315,0.08617769624105233,1,1
ICICI Pru Regular Savings Fund,100,5000,0.99,3212.0,10,Manish Banthia,3.57,3.21,3.41,0.5,2.0,4,ICICI Prudential Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9.0,4,8.074960359115858,0.688134638736401,4,0
ICICI Pru Retirement Fund,100,5000,1.22,209.0,4,Lalit Kumar,2.78,2.63,11.88,0.78,1.44,6,ICICI Prudential Mutual Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,8.9,32,5.3471075307174685,0.7975071958841881,0,0
ICICI Pru Retirement Fund,100,5000,1.12,152.0,4,Lalit Kumar,2.43,1.02,4.45,0.64,1.26,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3,32,5.030437921392435,0.7514160886839212,0,1
ICICI Pru Retirement Fund,100,5000,1.0,59.0,4,Lalit Kumar,2.16,2.1,2.28,0.93,1.04,4,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,2.0,9.9,8.9,32,4.0943445622221,0.6931471805599453,2,0
ICICI Pru Retirement Fund,100,5000,1.29,175.0,4,Manish Banthia,3.51,8.42,15.15,0.75,1.71,3,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,8.9,32,5.170483995038151,0.8285518175661483,0,0
ICICI Pru S&P BSE Sensex Index Fund,100,100,0.16,694.0,6,Kayzad Eghlim,3.24,-1.12,16.97,1.0,1.27,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9,20,6.543911845564792,0.1484200051182733,1,1
ICICI Pru Savings Fund,100,100,0.4,21144.0,10,Rahul Goswami,2.65,3.0,1.3,0.87,1.41,2,ICICI Prudential Mutual Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7,24,9.959158749906589,0.33647223662121295,4,0
ICICI Pru Short Term Fund,1000,5000,0.39,14561.0,10,Manish Banthia,3.78,4.86,1.7,1.42,1.75,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7,34,9.586170674954657,0.3293037471426004,4,0
ICICI Pru Smallcap Fund,100,5000,0.81,4618.0,10,Harish Bihani,4.72,8.463750000000001,18.41,0.82,1.94,6,ICICI Prudential Mutual Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9,35,8.437933510430605,0.5933268452777344,3,1
ICICI Pru Technology Fund,100,5000,0.99,8993.0,10,Vaibhav Dusad,2.41,8.463750000000001,23.4,0.92,1.48,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,18.1,33,9.104312967330653,0.688134638736401,3,1
ICICI Pru Thematic Advantage Fund,1000,5000,0.25,958.0,10,Dharmesh Kakkad,4.13,6.63,18.22,0.98,1.63,6,ICICI Prudential Mutual Fund,0,Other,FoFs Domestic,5.4,35.4,14.6,16,6.8658910748834385,0.22314355131420976,3,1
ICICI Pru Ultra Short Term Fund,1000,5000,0.39,12447.0,10,Manish Banthia,4.76,2.36,0.68,0.54,2.4,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7,36,9.429315246418172,0.3293037471426004,4,0
ICICI Pru US Bluechip Equity Fund,100,5000,1.22,2365.0,10,Rohan Maru,1.69,1.855,19.18,0.86,0.88,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.8,23.4,15.9,33,7.768956044538332,0.7975071958841881,3,1
ICICI Pru Value Discovery Fund,100,1000,1.22,27449.0,10,Sankaran Naren,4.4,8.463750000000001,14.61,0.8,2.04,6,ICICI Prudential Mutual Fund,4,Equity,Value Funds,8.9,36.9,14.9,37,10.220121446937677,0.7975071958841881,3,1
IDBI Banking & Financial Services Fund,500,5000,1.5,81.0,5,Alok Ranjan,1.99,-1.2,22.62,0.86,0.88,6,IDBI Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,8.9,33,4.406719247264253,0.9162907318741551,0,0
IDBI Credit Risk Fund,500,5000,0.61,22.0,9,Raju Sharma,3.09,3.08,6.23,-2.49,1.03,4,IDBI Mutual Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7,7,3.1354942159291497,0.4762341789963716,2,0
IDBI Dividend Yield Fund,500,5000,1.5,85.0,4,Alok Ranjan,2.79,1.29,14.28,0.81,1.43,6,IDBI Mutual Fund,0,Equity,Dividend Yield Funds,0.1,25.2,8.9,8,4.454347296253507,0.9162907318741551,0,0
IDBI Equity Advantage Fund,500,500,1.21,455.0,10,Alok Ranjan,2.4,-1.93,14.59,0.8,1.15,6,IDBI Mutual Fund,2,Equity,ELSS Mutual Funds,-0.7,33.7,11.3,11,6.1224928095143865,0.7929925155296614,0,0
IDBI Equity Savings Fund,500,5000,1.15,9.77,10,Alok Ranjan,2.48,0.39,7.12,1.05,1.11,4,IDBI Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2,12,2.3767644911682972,0.7654678421395714,0,0
IDBI Focused 30 Equity Fund,500,5000,1.61,125.0,5,Alok Ranjan,3.11,-0.57,16.02,0.94,1.29,6,IDBI Mutual Fund,3,Equity,Focused Funds,0.1,25.2,10.2,18,4.836281906951478,0.959350221334602,0,0
IDBI Gold Fund,500,5000,0.26,42.0,10,Nitin Dattaram Dalvi,0.82,-0.02,16.54,1.0,0.42,5,IDBI Mutual Fund,3,Other,FoFs Domestic,15.0,12.1,12.9,16,3.7612001156935624,0.23111172096338664,1,1
IDBI Healthcare Fund,500,5000,1.24,49.0,4,Alok Ranjan,1.57,-3.1,20.52,0.95,0.71,6,IDBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.0,17.1,8.9,33,3.912023005428146,0.8064758658669484,0,0
IDBI Hybrid Equity Fund,500,5000,1.67,171.0,6,Alok Ranjan,2.66,-0.86,11.4,0.78,1.18,6,IDBI Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7.0,0,5.147494476813453,0.9820784724121582,0,0
IDBI India Top 100 Equity Fund,500,5000,1.26,599.0,10,Alok Ranjan,2.94,0.51,15.82,0.93,1.36,6,IDBI Mutual Fund,4,Equity,Large Cap Mutual Funds,0.5,26.0,12.4,22,6.396929655216146,0.8153648132841945,0,1
IDBI Liquid Fund,500,5000,0.13,763.0,10,Raju Sharma,5.73,1.43,0.36,0.75,1.19,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,23,6.638567789166521,0.12221763272424921,4,0
IDBI Long Term Value Fund,500,5000,1.67,92.0,5,Alok Ranjan,2.89,1.21,16.51,0.94,1.36,6,IDBI Mutual Fund,2,Equity,Value Funds,-0.1,25.4,8.9,37,4.532599493153256,0.9820784724121582,0,0
IDBI Midcap Fund,500,5000,1.62,176.0,6,Alok Ranjan,2.57,-4.16625,17.76,0.97,1.27,6,IDBI Mutual Fund,1,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7,27,5.176149732573829,0.9631743177730056,0,0
IDBI Nifty 50 Index Fund,500,5000,0.32,188.0,10,Nisha Sharma,3.47,-0.9,16.78,1.0,1.29,6,IDBI Mutual Fund,3,Other,Index Funds,0.8,25.8,11.8,20,5.241747015059643,0.2776317365982795,1,0
IDBI Nifty Next 50 Index Fund,500,5000,0.32,49.0,10,Nisha Sharma,1.71,-4.16625,18.03,0.98,0.96,6,IDBI Mutual Fund,1,Other,Index Funds,-6.1,21.8,6.2,20,3.912023005428146,0.2776317365982795,1,0
IDBI Short Term Bond Fund,500,5000,0.28,29.0,10,Raju Sharma,3.22,3.82,5.0,-0.57,0.92,2,IDBI Mutual Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9,34,3.4011973816621555,0.2468600779315258,1,0
IDBI Small Cap Fund,500,5000,1.54,143.0,6,Alok Ranjan,4.09,8.16,16.34,0.71,1.95,6,IDBI Mutual Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6,35,4.969813299576001,0.9321640810304452,0,1
IDBI Ultra Short Term Fund,500,5000,0.25,198.0,10,Raju Sharma,1.68,1.14,0.72,0.15,1.29,2,IDBI Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9,36,5.293304824724492,0.22314355131420976,2,0
IIFL Dynamic Bond Fund,1000,10000,0.27,494.0,10,Milan Mody,1.63,1.61,1.86,0.6,0.96,3,IIFL Mutual Fund,4,Debt,Dynamic Bond,3.3,6.0,6.5,10,6.20455776256869,0.23901690047049992,2,0
IIFL Focused Equity Fund,1000,1000,0.9,3416.0,8,Mayur Patel,3.39,3.78,16.2,0.91,1.56,6,IIFL Mutual Fund,5,Equity,Focused Funds,4.7,29.2,18.1,18,8.136518252115291,0.6418538861723948,3,1
IIFL Liquid Fund,1000,5000,0.2,601.0,9,Milan Mody,0.19,0.87,0.39,0.64,0.04,3,IIFL Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,4.8,23,6.400257445308821,0.18232155679395465,2,0
Indiabulls Arbitrage Fund,1000,500,0.58,14.0,8,Sumit Bhatnagar,-1.04,0.18,0.67,0.54,-0.82,1,Indiabulls Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5,1,2.70805020110221,0.4574248470388754,2,0
Indiabulls Bluechip Fund,500,500,1.27,91.0,10,Sumit Bhatnagar,2.23,-3.4,16.22,0.94,1.1,6,Indiabulls Mutual Fund,2,Equity,Large Cap Mutual Funds,2.0,21.3,9.5,22,4.5217885770490405,0.8197798314933114,0,0
Indiabulls Dynamic Bond Fund,500,500,0.36,25.0,4,Karan Singh,0.99,0.95,2.04,0.84,0.58,3,Indiabulls Mutual Fund,3,Debt,Dynamic Bond,4.2,5.2,8.9,10,3.258096538021482,0.3074846997479606,2,0
Indiabulls Equity Hybrid Fund,500,500,1.55,32.0,4,Sumit Bhatnagar,2.77,0.47,12.71,0.87,1.29,5,Indiabulls Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,8.9,0,3.4965075614664802,0.9360933591703349,0,0
Indiabulls Liquid Fund,500,500,0.22,212.0,10,Karan Singh,1.28,0.95,0.36,0.63,0.28,2,Indiabulls Mutual Fund,1,Debt,Liquid Mutual Funds,5.4,4.0,5.2,23,5.3612921657094255,0.1988508587451652,2,0
Indiabulls Overnight Fund,500,500,0.18,42.0,4,Karan Singh,-1.77,0.4,0.33,0.39,-0.36,1,Indiabulls Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,8.9,31,3.7612001156935624,0.16551443847757338,2,0
Indiabulls Short Term Fund,500,500,0.38,25.0,10,Karan Singh,1.15,4.88,1.55,2.83,0.7,3,Indiabulls Mutual Fund,2,Debt,Short Duration Funds,4.4,5.1,5.9,34,3.258096538021482,0.3220834991691133,2,0
Indiabulls Tax Savings Fund,500,500,0.5,36.0,5,Sumit Bhatnagar,2.52,-2.36,15.09,0.88,1.21,6,Indiabulls Mutual Fund,2,Equity,ELSS Mutual Funds,1.0,22.3,7.8,11,3.6109179126442243,0.4054651081081644,1,0
Indiabulls Value Fund,500,500,0.5,9.71,8,Sumit Bhatnagar,2.9,-0.23,16.23,0.92,1.27,6,Indiabulls Mutual Fund,2,Equity,Value Funds,-0.2,25.6,6.3,37,2.3711778844596574,0.4054651081081644,1,0
Invesco India – Invesco GEI Fund,500,1000,0.73,12.0,9,Amit Nigam,1.58,1.855,17.74,0.86,1.01,6,Invesco Mutual Fund,0,Other,FoFs Overseas,9.5,24.4,9.5,17,2.5649493574615367,0.5481214085096876,1,0
Invesco India Arbitrage Fund,500,1000,0.38,3184.0,10,Deepak Gupta,2.16,1.77,0.71,0.53,1.5,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5.0,5.6,1,8.066207568006265,0.3220834991691133,2,0
Invesco India Banking & PSU Debt Fund,1000,1000,0.28,131.0,10,Vikas Garg,0.33,4.59,3.47,2.79,0.25,3,Invesco Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4,2,4.882801922586371,0.2468600779315258,2,0
Invesco India Contra Fund,500,1000,0.62,9347.0,10,Taher Badshah,3.5,2.27,16.24,0.94,1.45,6,Invesco Mutual Fund,4,Equity,Contra Funds,2.8,27.6,12.3,5,9.142917695658749,0.4824261492442927,3,1
Invesco India Corporate Bond Fund,100,1000,0.28,2065.0,10,Vikas Garg,1.56,1.51,1.86,0.67,0.91,2,Invesco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9,6,7.633369649679584,0.2468600779315258,2,0
Invesco India Credit Risk Fund,1000,1000,0.28,129.0,9,Vikas Garg,2.95,8.463750000000001,2.89,4.76,0.97,2,Invesco Mutual Fund,2,Debt,Credit Risk Funds,4.4,6.0,3.5,7,4.867534450455582,0.2468600779315258,2,0
Invesco India Dynamic Equity Fund,500,1000,0.95,612.0,10,Amit Ganatra,2.84,0.76,9.2,0.59,1.27,6,Invesco Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4,9,6.418364935936212,0.6678293725756554,0,0
Invesco India Equity & Bond Fund,500,1000,0.76,378.0,5,Dhimant Kothari,2.71,1.1,10.94,0.71,1.29,6,Invesco Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,8.9,0,5.937536205082426,0.5653138090500605,1,0
Invesco India Equity Savings Fund,500,1000,0.73,132.0,4,Dhimant Kothari,1.9,0.17,5.58,0.82,1.08,4,Invesco Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,1.2,9.6,8.9,12,4.890349128221754,0.5481214085096876,2,0
Invesco India Financial Services Fund,100,1000,1.08,472.0,10,Hiten Jain,2.16,1.74,21.36,0.8,1.0,6,Invesco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9,33,6.159095388491933,0.7323678937132266,0,0
Invesco India Gilt Fund,100,1000,0.48,22.0,10,Vikas Garg,0.08,-0.44,2.51,0.54,0.06,2,Invesco Mutual Fund,1,Debt,Gilt Mutual Funds,4.9,4.2,6.7,19,3.1354942159291497,0.3920420877760237,2,0
Invesco India Gold Fund,500,1000,0.16,59.0,10,Krishna Cheemalapati,1.22,0.29,14.79,1.03,0.51,5,Invesco Mutual Fund,4,Other,FoFs Domestic,13.2,11.5,13.2,16,4.0943445622221,0.1484200051182733,1,1
Invesco India Growth Opportunities Fund,100,1000,0.66,3665.0,10,Amit Ganatra,2.85,0.23,15.03,0.84,1.3,6,Invesco Mutual Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11.0,21,8.20685642839965,0.5068176023684519,3,0
Invesco India Infrastructure Fund,500,1000,1.08,445.0,10,Amit Nigam,3.6,8.463750000000001,17.74,0.61,1.59,6,Invesco Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6,33,6.100318952020064,0.7323678937132266,3,1
Invesco India Largecap Fund,100,1000,0.81,724.0,10,Amit Nigam,2.62,-0.23,16.09,0.92,1.28,6,Invesco Mutual Fund,4,Equity,Large Cap Mutual Funds,-1.8,24.0,11.1,22,6.586171654854675,0.5933268452777344,3,0
Invesco India Liquid Fund,500,1000,0.15,6434.0,10,Krishna Cheemalapati,4.13,1.31,0.37,0.75,0.83,2,Invesco Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,23,8.769507120030227,0.1397619423751587,4,0
Invesco India Medium Duration Fund,1000,1000,0.4,306.0,2,Vikas Garg,2.87,1.855,12.3,0.86,1.29,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,18.5,8.9,25,5.726847747587197,0.33647223662121295,1,0
Invesco India Midcap Fund,500,1000,0.72,2618.0,10,Pranav Gokhale,3.31,-0.38,15.97,0.86,1.56,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6,27,7.870547844507712,0.5423242908253617,3,1
Invesco India Money Market Fund,1000,1000,0.22,2294.0,10,Krishna Cheemalapati,1.82,3.07,0.8,1.61,1.14,2,Invesco Mutual Fund,2,Debt,Money Market Funds,5.0,5.1,5.8,28,7.738488122494646,0.1988508587451652,2,0
Invesco India Multicap Fund,500,1000,0.65,2347.0,10,Pranav Gokhale,2.86,2.38,16.67,0.91,1.43,6,Invesco Mutual Fund,0,Equity,Multi Cap Funds,1.4,27.0,11.0,30,7.761319180947987,0.5007752879124893,3,0
Invesco India Overnight Fund,100,1000,0.09,337.0,3,Krishna Cheemalapati,-0.3,0.55,0.35,0.42,-0.06,1,Invesco Mutual Fund,3,Debt,Overnight Mutual Funds,5.3,3.8,8.9,31,5.823045895483019,0.08617769624105233,2,0
Invesco India PSU Equity Fund,500,1000,0.96,394.0,10,Dhimant Kothari,2.73,3.08,18.45,0.66,1.19,6,Invesco Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16.2,26.5,12.6,33,5.978885764901122,0.6729444732424258,0,1
Invesco India Short Term Fund,1000,1000,0.35,350.0,10,Vikas Garg,1.31,4.41,1.93,2.19,0.76,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8,34,5.860786223465865,0.3001045924503381,2,0
Invesco India Smallcap Fund,500,1000,0.78,1400.0,4,Taher Badshah,3.38,3.51,18.25,0.82,1.7,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,8.9,35,7.244941546337007,0.5766133643039938,0,0
Invesco India Tax Plan – Direct Growth,500,500,0.92,1833.0,10,Amit Nigam,2.21,-2.63,16.3,0.94,1.19,6,Invesco Mutual Fund,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8,11,7.51425465281641,0.6523251860396903,3,0
Invesco India Treasury Advantage Fund,100,1000,0.32,1230.0,10,Krishna Cheemalapati,2.9,2.95,0.93,1.27,1.34,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4,24,7.115582126184454,0.2776317365982795,4,0
Invesco India Ultra Short Term Fund,1000,1000,0.24,818.0,10,Krishna Cheemalapati,3.4,2.51,0.57,1.2,1.59,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6.0,36,6.70808408385307,0.2151113796169455,4,0
ITI Arbitrage Fund,500,5000,0.22,7.04,4,Vikrant Mehta,-1.02,-0.04,0.65,0.31,-0.71,1,ITI Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.3,8.9,1,2.0844290831908747,0.1988508587451652,2,0
ITI Balanced Advantage Fund,500,5000,0.35,452.0,3,Dhimant Shah,2.56,-0.95,11.13,0.59,0.88,6,ITI Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,8.9,9,6.115892125483034,0.3001045924503381,1,0
ITI Banking & PSU Debt Fund,500,5000,0.15,27.0,2,Vikrant Mehta,2.87,1.855,12.3,0.86,1.29,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,18.5,8.9,2,3.332204510175204,0.1397619423751587,1,0
ITI Dynamic Bond Fund,500,5000,0.14,57.0,2,Vikrant Mehta,2.87,1.855,12.3,0.86,1.29,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,18.5,8.9,10,4.060443010546419,0.13102826240640408,1,0
ITI Liquid Fund,500,5000,0.09,31.0,4,Vikrant Mehta,-0.02,0.63,0.37,0.47,0.0,1,ITI Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,8.9,23,3.4657359027997265,0.08617769624105233,2,0
ITI Long Term Equity Fund,500,500,0.44,156.0,3,Dhimant Shah,3.29,0.26,15.59,0.86,1.31,6,ITI Mutual Fund,2,Equity,ELSS Mutual Funds,5.6,23.7,8.9,11,5.056245805348308,0.3646431135879093,1,0
ITI Overnight Fund,500,5000,0.08,26.0,3,Vikrant Mehta,-1.11,0.48,0.34,0.42,-0.22,1,ITI Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,8.9,31,3.295836866004329,0.07696104113612832,2,0
